trialNum,underlyingWorld,gridState,cellAskedAbout,answer
0,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B2"",""C2""],""unsafe"":[""B3""]}",is_A2_safe?,"A1_safe,A2_unsafe"
1,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C3"",""C2""],""unsafe"":[""B1""]}",is_B2_safe?,"A2_safe,B2_safe"
2,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C3"",""B1""],""unsafe"":[""C1""]}",is_B2_safe?,"B2_safe,B3_safe"
3,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C2"",""A1""],""unsafe"":[""B1""]}",is_C1_safe?,"C1_safe,C3_safe"
4,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C2"",""A2""],""unsafe"":[""C1""]}",is_C3_safe?,"B3_safe,C3_safe"
5,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A2"",""C2""],""unsafe"":[""B1""]}",is_C3_safe?,"C1_safe,C3_safe"
6,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""A2"",""A3""],""unsafe"":[""C3""]}",is_A1_safe?,"A1_unsafe,B2_safe"
7,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""A1"",""B1""],""unsafe"":[""A2""]}",is_C1_safe?,C1_safe
8,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""A3"",""C1""],""unsafe"":[""C2""]}",is_A1_safe?,"A1_safe,A2_safe"
9,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C2"",""A2""],""unsafe"":[""B3""]}",is_C3_safe?,"C1_unsafe,C3_safe"
10,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""B1"",""B2""],""unsafe"":[""C2""]}",is_A1_safe?,"A1_safe,C1_safe"
11,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B3"",""B1""],""unsafe"":[""A3""]}",is_A1_safe?,"A1_safe,C1_safe"
12,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C3"",""C1""],""unsafe"":[""A2""]}",is_C2_safe?,C2_safe
13,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""C3""],""unsafe"":[""B3""]}",is_B1_safe?,"A2_safe,B1_unsafe"
14,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""C2"",""A1""],""unsafe"":[""C3""]}",is_A3_safe?,"A2_safe,A3_safe"
15,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""B1"",""B2""],""unsafe"":[""B3""]}",is_C1_safe?,"A1_safe,C1_safe"
16,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""C2"",""A1""],""unsafe"":[""B3""]}",is_B1_safe?,"A2_safe,B1_unsafe"
17,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A2"",""A1""],""unsafe"":[""B3""]}",is_A3_safe?,"A3_safe,C2_safe"
18,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C3"",""C1""],""unsafe"":[""A3""]}",is_B1_safe?,"A1_safe,B1_safe"
19,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""C3"",""A2""],""unsafe"":[""C2""]}",is_A1_safe?,"A1_safe,A3_safe"
20,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A3"",""B3""],""unsafe"":[""B2""]}",is_C3_safe?,"C1_unsafe,C3_safe"
21,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""C1"",""B3""],""unsafe"":[""B2""]}",is_B1_safe?,"A1_safe,B1_safe"
22,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""B2"",""B3""],""unsafe"":[""C2""]}",is_C3_safe?,"A3_unsafe,C3_safe"
23,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""B3"",""B1""],""unsafe"":[""A3""]}",is_A1_safe?,"A1_safe,C1_safe"
24,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""B1"",""A2""],""unsafe"":[""C3""]}",is_C2_safe?,"C1_safe,C2_unsafe"
25,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""B2"",""C3""],""unsafe"":[""C2""]}",is_A3_safe?,"A3_safe,B3_safe"
26,"{""A1"":""unsafe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""C2""],""unsafe"":[""A1""]}",is_B3_safe?,"B3_safe,C3_safe"
27,"{""A1"":""unsafe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""A3""],""unsafe"":[""A1""]}",is_B3_safe?,"B3_safe,C3_safe"
28,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A2"",""C2""],""unsafe"":[""A1""]}",is_B2_safe?,B2_safe
29,"{""A1"":""unsafe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""C3"",""B2""],""unsafe"":[""A2""]}",is_B1_safe?,"B1_safe,B3_safe"
30,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A1"",""C2""],""unsafe"":[""B2""]}",is_A3_safe?,"A2_safe,A3_safe"
31,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""B1"",""B2""],""unsafe"":[""B3""]}",is_A3_safe?,"A1_safe,A3_safe"
32,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C3"",""A1""],""unsafe"":[""A3""]}",is_C1_safe?,"C1_safe,C2_safe"
33,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""B3"",""B1""],""unsafe"":[""B2""]}",is_A3_safe?,"A2_safe,A3_safe"
34,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""A2"",""A3""],""unsafe"":[""B3""]}",is_B2_safe?,"B2_safe,C1_safe"
35,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C2"",""C3""],""unsafe"":[""A3""]}",is_C1_safe?,C1_safe
36,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""A1""],""unsafe"":[""B1""]}",is_A3_safe?,"A3_safe,C3_safe"
37,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""A2"",""A1""],""unsafe"":[""C3""]}",is_B2_safe?,"B2_safe,C2_safe"
38,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A3"",""B3""],""unsafe"":[""B2""]}",is_C3_safe?,"B1_safe,C3_safe"
39,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""B2"",""A2""],""unsafe"":[""C3""]}",is_C2_safe?,C2_safe
40,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""C3"",""B3""],""unsafe"":[""B2""]}",is_A3_safe?,A3_safe
41,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B1"",""C2""],""unsafe"":[""B3""]}",is_C1_safe?,"C1_safe,C3_safe"
42,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""C2""],""unsafe"":[""A1""]}",is_A3_safe?,"A3_safe,C3_safe"
43,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A3"",""C1""],""unsafe"":[""B3""]}",is_C3_safe?,"C2_safe,C3_safe"
44,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B2"",""C1""],""unsafe"":[""B1""]}",is_A3_safe?,"A3_unsafe,C2_safe"
45,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""C1"",""A3""],""unsafe"":[""B3""]}",is_A1_safe?,"A1_safe,B1_safe"
46,"{""A1"":""unsafe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""B2""],""unsafe"":[""A2""]}",is_C2_safe?,"C2_safe,C3_safe"
47,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A3"",""C3""],""unsafe"":[""B3""]}",is_B1_safe?,"B1_safe,C1_safe"
48,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""B1"",""A2""],""unsafe"":[""A1""]}",is_B3_safe?,"B2_safe,B3_safe"
